youtube_id,kol_nickname,subscriber,kol_player_num,kol_country,kol_interact_rate,kol_player_num_mean,price,kol_wotokol_score
164655,,0,0,美国,6,341433,￥148182.00-197083.00,4
132113,Creative Creek,0,5984043,美国,8,6564,￥17000.00-22100.00,4
76556,SweetieSnacker,0,9465809,美国,0,13194,￥0.00-0.00,2
209348,,0,0,美国,2,14909,￥8500.00-11050.00,2
233971,Sakina El moden,0,40558132,美国,11,25138,￥36800.00-47472.00,5
198973,Mrs. Cakes,0,5843,美国,3,28783,￥71155.00-93925.00,3
236081,Star Vlog,0,48743840,美国,2,18537,￥7590.00-10019.00,2
87793,YPD New World RELAX,0,64346802,美国,2,44331,￥4260.00-5538.00,2
106388,Nail Share,0,10000484,美国,2,1699,￥10300.00-13596.00,2
227071,How To DIY,0,22040608,美国,3,4911,￥2990.00-3917.00,3
232224,,0,0,美国,0,17311,￥0.00-0.00,2
216908,Life In USA,0,36036792,美国,2,4739,￥10600.00-13780.00,3
169134,FIMEARSCARBA By Lumy Nitsa,0,8509587,美国,4,11300,￥7650.00-9945.00,2
100077,,0,0,美国,0,5702,￥0.00-0.00,2
122158,,0,0,美国,0,3279,￥0.00-0.00,2
96049,Sunshine Abuwi -SunshineLovesPeace,0,3619629,美国,10,3037,￥3110.00-4137.00,4
181192,,0,0,美国,0,4113,￥0.00-0.00,2
128467,Astro Hernandez,19600,0,美国,6,1486,￥2010.00-2674.00,4
195429,heartrayna,19600,1177267,美国,8,1039,￥2020.00-2687.00,4
11546,Claire Green,19800,41200,美国,2,0,￥2030.00-2660.00,2
184942,ICraveKay,19800,2135380,美国,9,1683,￥2080.00-2704.00,4
3688,Sean Ko,20200,0,美国,8,0,￥2110.00-2722.00,2
134443,mckenzie callahan,20200,1306048,美国,9,1116,￥2060.00-2699.00,4
161476,SAV,20300,1587153,美国,5,1379,￥2080.00-2746.00,4
100198,Ms. Allison Nichole,20500,2575314,美国,0,1593,￥2010.00-2593.00,2
131134,Mindy Marie,20600,816021,美国,7,3582,￥2120.00-2799.00,4
133498,EUNBI 은비 EB,20700,2841730,美国,3,11958,￥2120.00-2756.00,3
194500,BeautyWithBrittanyXo,20700,781182,美国,13,2997,￥2120.00-2778.00,4
88038,Being Melody,20800,3085560,美国,3,2608,￥2010.00-2634.00,3
82755,Mom Style * Collette Wixom & Chelsea Cannell,20800,1837718,美国,1,1501,￥2070.00-2733.00,3
135806,jennieland01,20800,5259600,美国,2,4437,￥2020.00-2626.00,3
100353,elorabee,20800,2113776,美国,3,4076,￥2150.00-2817.00,3
120126,BethanyFae,20900,1839145,美国,12,1551,￥2080.00-2767.00,4
227772,BeautyByDamaris,21000,759205,美国,7,1639,￥2150.00-2838.00,4
57293,HappiestVlogsOnEarth,21100,4042812,美国,5,0,￥2020.00-2626.00,4
133860,Naturally Batel,21100,0,美国,2,1801,￥2110.00-2722.00,3
100391,ASMR Tingles 74,21200,4291728,美国,4,3591,￥2070.00-2671.00,3
235524,Gina Ritacco,21300,2985306,美国,3,2542,￥2130.00-2748.00,3
231217,Mostelegantprincess,21300,20984536,美国,3,17184,￥2010.00-2654.00,3
170215,wherevershegoes,21300,1301452,美国,3,1983,￥2050.00-2706.00,3
5480,Maureen Naudts,21400,252601,美国,2,605,￥2100.00-2793.00,3
6722,Stella\'s Life,21400,3182117,美国,6,319,￥2250.00-2903.00,4
196179,livkop,21400,1532258,美国,5,1342,￥2210.00-2940.00,4
121471,EJWorld,21500,1562399,美国,10,1998,￥2090.00-2738.00,4
121472,PinkPerception,21500,1144938,美国,3,4287,￥2180.00-2856.00,3
95028,Domyenn,21600,756831,美国,6,1069,￥2210.00-2896.00,4
125001,lovelilyxo,21700,172989,美国,4,3771,￥2170.00-2843.00,4
87827,Pink Cake Box,21700,8433530,美国,4,3955,￥2170.00-2887.00,3
133739,Centerworks Pilates,21700,6319794,美国,0,1944,￥0.00-0.00,2
1700,Thaiyana Mali,21800,1100212,美国,5,0,￥2250.00-2993.00,4
3692,yijihoon,21800,1330404,美国,8,283,￥2070.00-2691.00,4
151469,MyHouseMyHome,21800,2761159,美国,14,5735,￥2040.00-2673.00,4
202389,Jasmine,21800,900767,美国,6,2861,￥2210.00-2940.00,4
76196,Jenna Leiva,21900,5156280,美国,4,43532,￥2010.00-2593.00,4
215465,saywink,21900,5551884,美国,14,4863,￥2200.00-2838.00,4
106904,Taylor Sison,21900,2033207,美国,8,1585,￥2100.00-2730.00,4
96192,BuildableBeauty,21900,4827036,美国,6,4301,￥2210.00-2940.00,4
124418,Emma,21900,7455583,美国,4,6398,￥2270.00-2929.00,3
105228,Интересные поделки,21900,9524407,美国,0,4274,￥2060.00-2658.00,2
144453,Jonlyn Coon,21900,244243,美国,8,4124,￥2220.00-2931.00,4
189966,The Not So Evil Stepmother,22000,1338511,美国,25,1029,￥2100.00-2793.00,4
11842,Loisjane,22100,403716,美国,14,2534,￥2170.00-2887.00,4
75928,Kay Beauty,22100,4408355,美国,1,3779,￥2200.00-2904.00,3
123110,Laura Mercier,22100,5263473,美国,4,4298,￥2030.00-2700.00,3
113635,RelaxTube,22200,3084582,美国,4,9964,￥2180.00-2878.00,3
75122,Lee Julie,22200,1928158,美国,3,19409,￥2010.00-2654.00,3
142524,The Conversation,22200,4143529,美国,2,3632,￥2220.00-2909.00,3
119053,Tola Revamps,22200,2569121,美国,5,2019,￥2060.00-2658.00,3
118376,You Can Do It Craft,22200,3932240,美国,3,3317,￥2120.00-2799.00,3
150190,Rebecca Reviews,22200,5778977,美国,14,2982,￥2090.00-2697.00,4
151805,Meghan傅,22300,1041351,美国,2,5641,￥2150.00-2860.00,3
136291,Model Workouts,22300,1516519,美国,5,1093,￥2210.00-2940.00,3
221183,JUICY TINGLES,22300,4493506,美国,2,1309,￥2160.00-2808.00,2
79097,Camillia Yvette,22400,2932703,美国,17,2730,￥2040.00-2652.00,4
224532,shaylee glaziner,22400,1925558,美国,12,1649,￥2170.00-2821.00,4
156297,The Princess Lifestyle,22400,947356,美国,14,2030,￥2110.00-2786.00,4
163134,reQwest TV,22400,1587658,美国,6,2531,￥2170.00-2865.00,4
230115,The Veggie Nut,22500,1906032,美国,9,1531,￥2160.00-2852.00,1
189529,Nasia James,22500,1280043,美国,6,1140,￥2270.00-2951.00,4
187559,Optimal Entertainment,22500,13891859,美国,0,12171,￥2230.00-2922.00,2
210224,ayeitsgianna,22600,1825595,美国,7,1589,￥2340.00-3113.00,4
96875,Malibu Rum,22600,7926412,美国,0,2401,￥2070.00-2671.00,2
6838,Sarah Elkhatib,22700,1220304,美国,6,825,￥2310.00-2980.00,4
213383,MarissaKai,22700,1324065,美国,2,1494,￥2320.00-3040.00,3
118883,Chelmee Reviews,22700,5157220,美国,5,4548,￥2330.00-3006.00,4
217414,Carrie L Johnson,22700,2652361,美国,9,1002,￥239.00-314.00,1
226701,Masak Asik,22700,284969,美国,3,3482,￥2230.00-2877.00,3
96276,Kai Kumalae,22800,2727395,美国,4,2407,￥2310.00-2980.00,4
106724,Class Act Crew,22800,2372284,美国,0,2006,￥2330.00-3099.00,2
111891,The Lashe Inc - Eyelash Extensions,22800,8022287,美国,0,6788,￥0.00-0.00,2
196288,cali_Kallie,22900,1191760,美国,3,2247,￥2180.00-2878.00,3
209520,BeautybyCresent,23000,1657460,美国,8,1458,￥2330.00-3076.00,4
130092,TaraWhiteTalks,23000,3984235,美国,2,3296,￥2320.00-3016.00,3
194606,Hair With Destiny,23000,0,美国,6,1874,￥2110.00-2807.00,4
119660,El Closet De Betty,23100,3753651,美国,2,3151,￥2200.00-2838.00,3
174566,teentytan,23100,25397389,美国,3,22109,￥2250.00-2903.00,3
173400,Glenda Sully,23100,5109417,美国,21,5299,￥2160.00-2787.00,4
153965,Tracy Gold Fashion Tips,23100,2301552,美国,8,4051,￥2170.00-2843.00,4
209128,Saige Lynn,23100,675571,美国,4,3021,￥2420.00-3122.00,4
2460,alyssa fouts,23200,980771,美国,15,1221,￥2420.00-3195.00,4
209354,StylistCheats,23200,4926432,美国,0,3119,￥2270.00-2997.00,2
4691,ohh tae,23300,1901569,美国,8,3180,￥2450.00-3210.00,4
202534,Conni Biesalski,23300,1730475,美国,8,1278,￥2180.00-2834.00,4
227600,candytt,23300,4846156,美国,4,4320,￥2360.00-3068.00,3
187373,Ask Chef Tony,23400,3436155,美国,7,2776,￥2180.00-2834.00,4
158571,KaitNicholexoVlogs,23400,1641099,美国,6,1424,￥2390.00-3179.00,4
177857,totallykit,23400,3934,美国,5,1023,￥2250.00-2948.00,3
82225,Henry Yu,23400,7123890,美国,3,2730,￥2030.00-2619.00,3
149954,BentlyK,23400,2282791,美国,15,1215,￥2080.00-2767.00,4
90170,Mike and Yes,23500,904239,美国,7,10165,￥2160.00-2873.00,4
109036,My America,23500,3246003,美国,16,11532,￥2260.00-2938.00,4
78565,Anna McKinney,23500,9384649,美国,4,2837,￥2310.00-3073.00,3
156769,Daily News,23500,0,美国,0,2506,￥2360.00-3045.00,2
129168,UrbanTrademark,23600,3119946,美国,7,3020,￥571.00-760.00,4
190906,RivetingRadiance,23600,3358324,美国,7,2973,￥2390.00-3155.00,4
137065,JessIsAMess,23600,1648559,美国,12,1386,￥2340.00-3089.00,4
119688,Annah Aries,23700,7509048,美国,23,6250,￥2220.00-2886.00,4
132422,Courtney Lynn,23700,1962902,美国,0,1397,￥0.00-0.00,2
100412,MiaBellaBeauty,23700,4349397,美国,2,3837,￥2390.00-3179.00,3
2977,Olivia Flocco,23800,85935,美国,6,0,￥2440.00-3221.00,4
146721,Jossie Ochoa,23800,760352,美国,5,1231,￥2230.00-2877.00,3
112578,South Coast MedSpa,23800,30543086,美国,0,26465,￥2240.00-2980.00,2
173934,maricarljanah,23900,4008109,美国,4,3306,￥2380.00-3142.00,3
78405,ModCloth,23900,8819514,美国,2,15756,￥2430.00-3135.00,2
103582,meg.antinucci,23900,6964476,美国,4,5989,￥2390.00-3084.00,3
26561,Hana Belle,24000,2744172,美国,11,1562,￥2480.00-3249.00,4
187260,TheDailyCupcake,24000,1304683,美国,4,1155,￥2430.00-3232.00,3
126399,Foreverx5,24000,1392128,美国,9,1085,￥2390.00-3155.00,1
222465,Slay This Debt,24000,1540703,美国,3,1107,￥2120.00-2778.00,3
98170,Coupons Mom,24000,5214241,美国,2,5873,￥2280.00-2942.00,2
62105,Casey Blake,24100,2382968,美国,5,0,￥2050.00-2645.00,3
236326,MelissaQ,24100,1885491,美国,5,1560,￥2370.00-3058.00,4
90059,Natural Hair Rebel,24100,1515559,美国,4,1277,￥2350.00-3055.00,4
169222,Bailey Brianne,24200,2659531,美国,3,2301,￥2480.00-3249.00,3
117730,AisaVenezuela,24200,6762126,美国,1,5832,￥2340.00-3066.00,3
157516,Grant and Emyle,24200,1320479,美国,6,7153,￥2350.00-3032.00,4
125086,N E S S A S U N S H I N E,24200,1656417,美国,13,1648,￥2140.00-2804.00,4
107800,Jeff Copeland,24300,7369864,美国,3,1318,￥2100.00-2730.00,3
77798,The Travel Vlogger,24300,8730109,美国,1,1691,￥2080.00-2725.00,3
134706,Gray House Studio,24300,3374548,美国,4,2514,￥2210.00-2896.00,3
236131,WWD,24300,6002976,美国,2,1836,￥2100.00-2751.00,3
195532,Dominic Johnson,24300,1473868,美国,3,1257,￥2530.00-3264.00,3
196567,Kimmie Gotch,24400,258624,美国,10,7076,￥2410.00-3109.00,4
190115,Brandy Nitti,24400,1742477,美国,10,1393,￥2210.00-2918.00,4
129890,M.A.G. Visions,24400,4091938,美国,10,5368,￥2090.00-2759.00,4
222357,Rashelle Marie,24400,1711225,美国,5,1319,￥2400.00-3120.00,3
234611,Sekoya Hicks,24400,3514152,美国,7,2671,￥2160.00-2787.00,4
129615,Shauna Kathleen,24400,2628262,美国,1,2204,￥2370.00-3058.00,3
169348,Wehttam,24400,3431845,美国,6,2684,￥2340.00-3042.00,4
117655,JustJazzy,24400,3289932,美国,11,12794,￥2220.00-2864.00,4
113815,DailyMailTV,24400,9835397,美国,0,3758,￥2050.00-2645.00,2
1491,Emma Lev,24500,2454365,美国,6,3628,￥2330.00-3029.00,4
199657,stolentoilet,24500,2712547,美国,2,2309,￥2490.00-3262.00,3
135533,HarvestArmy,24500,18954187,美国,10,16425,￥2400.00-3192.00,4
